"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"Bombycilla.cedrorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sturnus.vulgaris",0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,8,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,2,1,1,4,1,0,0,0,0,1,0,1,7,1,0
"Vireo.griseus",0,0,0,0,0,0,0,7,10,8,3,5,3,0,4,0,0,2,1,1,6,1,0,0,0,2,0,6,0,0,1,3,0,3,0,1,0,0,0,0,3,0,7,0,0,0,0,1,0,9
"Vireo.flavifrons",0,1,0,8,0,3,1,0,2,1,3,0,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Vireo.olivaceus",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,2,0,0,5,0,0,2,6,5,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0
"Dendroica.dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dendroica.pinus",1,0,1,0,0,1,2,0,4,5,1,3,4,2,2,1,1,2,6,1,1,3,3,5,4,1,2,2,2,7,4,7,2,3,0,2,2,3,0,4,4,0,8,7,4,3,1,0,0,1
"Dendroica.discolor",0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6
"Mniotilta.varia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0
"Protonotaria.citrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helmitheros.vermivorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oporornis.formosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Wilsonia.citrina",0,0,0,0,0,0,0,7,1,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,5,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
"Geothlypis.trichas",0,0,0,0,0,0,0,1,0,0,6,4,2,4,0,0,0,7,1,0,1,0,0,0,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,5,6,1,0
"Icteria.virens",0,0,0,0,0,0,1,5,7,6,7,8,5,9,4,0,1,9,5,0,2,0,0,0,0,0,4,4,0,5,2,3,0,1,0,2,0,0,0,0,8,1,8,1,0,0,4,5,2,6
"Piranga.rubra",1,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,1,3,2,1,0,0,4,2,0,2,2,0,0,2,2,1,0,0,1,2,0,0,0,0,2,4,2,0,2,0,0,2,0
"Prianga.olivacea",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardinalis.cardinalis",11,11,11,9,9,9,11,10,5,4,5,7,9,7,5,7,4,7,10,8,10,11,11,8,5,9,6,7,8,6,9,9,9,8,7,9,6,6,8,5,10,8,8,4,9,8,7,5,7,10
"Guiraca.caerulea",0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,5,0,0,0,0,0,0,0,0,9,0,0,0
"Passerina.cyanea",4,0,0,0,0,4,2,1,9,9,10,10,3,10,5,1,4,8,5,7,7,4,5,0,1,5,11,5,1,1,7,2,6,7,2,7,8,7,3,0,7,5,8,0,4,4,11,5,4,7
"Pipilo.erythrophthalmus",8,1,6,10,1,0,2,9,7,6,5,6,5,5,7,5,2,3,9,1,2,0,3,1,2,5,6,1,0,8,7,4,0,1,0,3,4,5,0,2,3,0,4,0,0,5,4,3,5,11
"Spizella.passerina",0,6,3,11,7,1,3,0,0,0,0,0,0,0,0,1,2,0,0,2,2,1,2,0,0,0,0,0,0,0,1,4,5,7,9,8,0,0,0,0,0,0,0,0,3,5,2,1,1,0
"Spizella.pusilla",0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2
"Agelaius.phoeniceus",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,4,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,4,0,0
"Sturnella.magna",0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Quiscalus.quiscula",0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,8,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,3,1,0,0,0,0,0,0,2,0,1
"Molothrus.ater",0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,3,4,5,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,1,0,0,2,0
"Icterus.spurius",0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,6,0,2,0,5,1,0,0,0,0,2,0,0,0,0,0,4,0,2,0,3,0,0,3,2,0,0,0,0,0,1,0,7,4,0
"Carduelis.tristis",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Passer.domesticus",0,0,0,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Accipiter.striatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accipiter.cooperii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
